eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
342.51,18.049999237060547,4202.0,0.006338400766253471,0.0762125626206398,2.2480971813201904,-0.008836726658046246,0.33243295550346375,0.8351430892944336,89.0,22784.0,359.58289589197375,1458176.0
352.44,18.09000015258789,4264.0,0.006833942141383886,0.0837605819106102,2.3121025562286377,-0.0072003998793661594,0.3435542583465576,0.7823017239570618,90.0,23040.0,363.4253323050216,1474560.0
352.69,18.520000457763672,4502.0,0.007861031219363213,0.0970255509018898,2.2962234020233154,-0.010168630629777908,0.27642396092414856,0.8368047624826431,91.0,23296.0,367.0654099199455,1490944.0
355.13,19.860000610351562,4268.0,0.006111714988946915,0.0672810897231102,2.2884457111358643,-0.008053022436797619,0.3415820300579071,0.8360223323106766,92.0,23552.0,370.904492626898,1507328.0
339.16,18.239999771118164,4221.0,0.007121911272406578,0.0819905623793602,2.3221089839935303,-0.010591615922749043,0.2784801423549652,0.8237067759037018,93.0,23808.0,374.7860989710316,1523712.0
338.89,18.3700008392334,4348.0,0.005760151892900467,0.0680948868393898,2.31152081489563,-0.008736995048820972,0.33498093485832214,0.8242353796958923,94.0,24064.0,378.5546043070499,1540096.0
326.11,16.670000076293945,4376.0,0.006440950557589531,0.0755615234375,2.3214147090911865,-0.009889405220746994,0.3232853412628174,0.8097310066223145,95.0,24320.0,382.2999588029925,1556480.0
320.59,15.989999771118164,4423.0,0.0062335096299648285,0.0750732421875,2.3113443851470947,-0.00882036704570055,0.3068998157978058,0.8113853484392166,96.0,24576.0,386.0051921189297,1572864.0
353.52,19.889999389648438,4388.0,0.007240906357765198,0.0884806290268898,2.306751012802124,-0.008007392287254333,0.3334316909313202,0.8458119034767151,97.0,24832.0,389.7394947600551,1589248.0
359.89,20.149999618530273,4292.0,0.010939148254692554,0.1374715119600296,2.315302610397339,-0.002530882367864251,0.3101002871990204,0.8193166851997375,98.0,25088.0,393.5572570760269,1605632.0
370.81,20.200000762939453,4275.0,0.008455473929643631,0.1025390625,2.310157537460327,-0.004920684266835451,0.37443211674690247,0.8296656310558319,99.0,25344.0,397.3900848799385,1622016.0
368.26,19.280000686645508,4455.0,0.008112135343253613,0.1044108048081398,2.325258255004883,-0.00567626440897584,0.3839911222457886,0.8156579285860062,100.0,25600.0,401.06814889400266,1638400.0
357.45,19.059999465942383,4443.0,0.01288732048124075,0.1605224609375,2.341590642929077,-0.008622036315500736,0.28562453389167786,0.8072815090417862,101.0,25856.0,404.7563764450606,1654784.0
361.45,19.520000457763672,4264.0,0.009312977083027363,0.12396240234375,2.329082489013672,-0.0111054927110672,0.3453787863254547,0.8197200149297714,102.0,26112.0,408.59926972701214,1671168.0
361.99,19.920000076293945,4230.0,0.010437644086778164,0.13568115234375,2.3244149684906006,-0.006243120413273573,0.3135090172290802,0.8073978424072266,103.0,26368.0,412.47340021585114,1687552.0
361.54,20.149999618530273,4348.0,0.008515932597219944,0.1079915389418602,2.322561502456665,-0.005486492067575455,0.421046644449234,0.7897049188613892,104.0,26624.0,416.24250806798227,1703936.0
348.28,18.989999771118164,4463.0,0.006239939481019974,0.0721028670668602,2.3249564170837402,-0.006830791477113962,0.37643635272979736,0.8058213442564011,105.0,26880.0,419.91385450889356,1720320.0
336.33,17.690000534057617,4304.0,0.0076193660497665405,0.0913899764418602,2.343549966812134,-0.006368444766849279,0.2751952111721039,0.8169353157281876,106.0,27136.0,423.72122702305205,1736704.0
342.43,18.399999618530273,4515.0,0.006561303976923227,0.076171875,2.3101348876953125,-0.006154206115752459,0.3622875511646271,0.8080106526613235,107.0,27392.0,427.35168572794646,1753088.0
339.85,17.81999969482422,4325.0,0.005565428640693426,0.0607706718146801,2.3346941471099854,-0.006452678237110376,0.3278612196445465,0.8093416839838028,108.0,27648.0,431.14019843097776,1769472.0
336.82,17.649999618530273,4288.0,0.0076141622848808765,0.0923055037856102,2.329355001449585,-0.0073675489984452724,0.28793683648109436,0.828383132815361,109.0,27904.0,434.9616382829845,1785856.0
342.12,17.780000686645508,4268.0,0.007568541914224625,0.09429931640625,2.3594837188720703,-0.009897512383759022,0.28191980719566345,0.8311086893081665,110.0,28160.0,438.8009897440206,1802240.0
344.73,16.90999984741211,4377.0,0.005807848181575537,0.06207275390625,2.334603786468506,-0.009730428457260132,0.2977158725261688,0.8003382235765457,111.0,28416.0,442.545639521908,1818624.0
350.05,16.90999984741211,4326.0,0.009187400341033936,0.11785888671875,2.3399147987365723,-0.011312655173242092,0.34751877188682556,0.7710287272930145,112.0,28672.0,446.3335304518696,1835008.0
341.86,16.799999237060547,4353.0,0.009016827680170536,0.11468505859375,2.344413995742798,-0.008950741030275822,0.29522913694381714,0.7956322133541107,113.0,28928.0,450.0980116389692,1851392.0
347.77,17.729999542236328,4393.0,0.011297706514596939,0.1549479216337204,2.319646120071411,-0.00505879707634449,0.23501217365264893,0.8284160494804382,114.0,29184.0,453.82829637196846,1867776.0
372.14,20.469999313354492,4473.0,0.006464507430791855,0.0749104842543602,2.330474615097046,-0.008620700798928738,0.3027650713920593,0.8075231611728668,115.0,29440.0,457.4930687949527,1884160.0
368.46,19.899999618530273,4549.0,0.006576711777597666,0.0774129256606102,2.343001127243042,-0.008708292618393898,0.27522119879722595,0.7844331860542297,116.0,29696.0,461.09568026894704,1900544.0
350.89,18.81999969482422,4469.0,0.010647877119481564,0.140380859375,2.3389875888824463,-0.010694815777242184,0.2556767761707306,0.8293174505233765,117.0,29952.0,464.7619491869118,1916928.0
319.92,17.329999923706055,4614.0,0.010539649985730648,0.1321004182100296,2.347646951675415,-0.009043107740581036,0.2544378936290741,0.8254439681768417,118.0,30208.0,468.3136179759167,1933312.0
313.78,15.510000228881836,4319.0,0.011103400029242039,0.1470947265625,2.3490781784057617,-0.009914671070873737,0.2581322491168976,0.7855747789144516,119.0,30464.0,472.11250943294726,1949696.0
323.02,15.630000114440918,4425.0,0.013528610579669476,0.18011474609375,2.311685800552368,-0.008230788633227348,0.30203577876091003,0.8042703568935394,120.0,30720.0,475.81553685688414,1966080.0
